Algo: P, NP definition	solvable in polynomial time<br>a solution can be verified in polynomial time
Prob: set of equality and inequality constraints on a set of boolean variables, find if possible	build undirected graph with <b>equality</b> only<br>compute <b>connected components</b><br><br>for <b>each inequality</b>: check that they are in <b>different connected components</b>
Prob: set cover problem	find minimum number of subsets which union to universe<br><br>maybe weights<br><br>NP-complete
SD apps: Back pressure	feedback mechanism used by producers to let know consumers how they should adjust their requests
SD apps: citymapper	complex data model<br>latency of read queries with real-time info<br>some pre-computation
SD/patterns: how to handle errors in a streaming processing system	rewrite to <b>errorTopic1</b> and <b>retry</b>, then eT2, ...<br><br>then to <b>dead letter topic</b><br><br>(Uber)
SD/patterns: mechanism for asynchronicity	queues
SD apps: most followers on twitter	1B
SD components/store: MySQL replication modes<br>(what is in the WAL)	statement-based ("insert ...") = logical<br><br><br>row-based: result of the statement = physical<br><br>or a mix
SD components/store: MySQL storage engine (2)	<b>InnoDB</b>: row locking so better concurrency<br><br><b>MyISAM</b>: old, maybe table locking better when lots of reads
SD components/store: tablet definition	horizontal partition/shard of a table (Google)
SD primitives/acid: ACID	atomicity, consistency, isolation, durability
SD/cons: tunable consistency	from "writes never fail" to <br><br>"block for all replicas to be readable" with quorum levels
SD components/store: classic consistency problem in DB	read-after-write
SD: how many seconds in a day	90K
SD/pattern: hashing for sharding (2)	<b>consistent hashing</b>: circle with many pseudo-random points per node<br><br><br><b>Rendezvous</b> hashing
SD/pattern: circuit breaker<br>def, how it works	<b>~proxy</b> for operations that might fail<br><br><b>3 states</b>: closed / half-open / open<br>change state by looking at <b>error rate</b>
SD: how to send updates from server to client (3)	<b>short-polling</b> (client pull)<br><br><b>long-polling</b> (client pull): server doesn't answer request until new data<br><br><b>websocket</b> (server push): persistent bi-directionnal connnection over TCP less overhead than HTTP no need to do new TCP handshake
SD/pattern: event-sourcing pattern	use append-only store of actions/events
SD/pattern: retry pattern	depending on error from service, client can have 3 strategies<br>- retry immediately<br>- retry later<br>don't retry<br><br>careful: idempotency preferedSD: three and four nines availability per year	99.9: <b>9</b> hours of downtime/year<br><br>99.99: <b>1</b> hour downtime/year
SD:<br>- how many FB users<br><br>- how many YT videos watched every day	- 2B Montly active users<br><br>- 5B
Sort: Heapsort: description, complexity	<b>heapify in O(n)</b><br>n times: get max, put at end, resize heap O(log n)<br><br><b>total: O(n log n)</b>
Sort: QuickSort: algorithm	(randomize first), <br>select pivot, <br>partition, <br>sort left and right partition
Sort: Radix sort: description, complexity	MSB or LSB<br>O(wn)
Sort: Selection and Insertion sort: best and worst case	- Selection: no difference, <br>always O(n^2)/O(1) auxiliary<br><br>- Insertion: sorted O(n)/O(1) aux<br>worst: reverse sorted O(n^2)/O(1) aux
Sort: bubble sort	swap pairs to put max at i=end of array<br>i--
Sort/gen: good sort for a linked list	good: merge sort<br><br>possible but more difficult?: quick sort
Sort: external merge sort	sort chunk & write to disk, load chunk of chuck and merge-write
Sort: mergesort	merge sorted subarrays with auxiliary array (allocate once)
String/paren: Is a string with (), {}, [] balanced	<b>stack</b> with active items O(n)
String: shortest superstring	<b>bitmask DP</b><br>dp[mask][endingWithString]<br><br>O(2^n n^2)
String: word break<br>longstringwithoutspaces + dict	<b>DP</b>: canBreak[offset]
Tree/bst: Check if a tree is a BST (2)	1. recursive propagate min/max O(n), <br>2. check if <b>in-order traversal</b> is <b>sorted</b> O(n)
Tree/bst: from array, create BST with minimal height	sort, <br>take middle of array then recursive
Tree/bst: k-th highest element of BST	reverse inorder traversal of BST. O(h + k)String: determine if a string has only unique characters (2)	use a set, <br><br>or <b>sort</b> the string
String: determine if a string has only unique characters (2)	use a set, <br><br>or <b>sort</b> the string
Sort/gen: sort when limited range of keys (3)	3 <b>distribution sorts</b>:<br><br>counting sort O(n + k)/O(n + k)<br><br>bucket sort O(n + k)/O(nk)<br><br>radix sort O(w n)/O(w + n)
Sort/gen: sort without moving too many records (which might be expensive)	<b>indirect sort</b>:<br>1. sort secondary <b>array of indices</b><br><br>2. apply sort to array (move records)
SD: vertical/horizontal scaling 	vertical: add more power to a machine<br><br>horizontal: add more machines
Tree: Bottom view of binary tree	BFS with (ordered) map: <br>M[x-coordinate] = value<br><br>O(n)/O(n)
Tree: Maximum path sum in a binary tree (or diameter)	recursive divide and conquer<br><br>rec function <b>maxStraightPathDown</b> + <b>global</b> variable<br><br>O(n)
Tree: compress binary trees to canonical form	use <b>hashing</b> on nodes/subtrees<br><br>recursive
